12001,"来能说。	2017/12/2 9:24","柠檬树。	2017/12/2 9:24","给我唱一首。	2017/12/2 9:25"
12727,"哎呀。	2017/12/30 17:19","请播放逆战这首歌。	2017/12/30 17:20","唱歌。	2017/12/31 15:24"
12728,"中国怎么说？	2017/12/27 19:41","放心你再告诉他你叫什么名字呢？	2017/12/27 19:41","我的名字叫扣扣告诉你。	2017/12/27 19:41"
12729,"我要听李玉刚的新贵妃醉酒。	2017/12/30 20:07","我要听李玉刚的新贵妃醉酒。	2017/12/30 20:12","我要听李玉刚的石花雨。	2017/12/30 20:34"
12730,"请播放黑豹的歌曲。	2017/11/29 8:50","分明模式。	2017/11/29 8:50","我要听杨钰莹的歌听歌。	2017/11/29 8:51"
12731,"你会越变越聪明。	2017/11/5 17:15","讲个故事来听听。	2017/11/5 17:15","我要听歌。	2017/11/5 17:16"
12732,"三十三块。	2017/11/29 11:22","玫瑰花。	2017/11/29 11:29","等一分钟。	2017/11/29 19:13"
12733,"播放移动的心。	2017/11/29 14:37","汪峰的飞得更高。	2017/11/29 14:57","韩红的歌。	2017/11/29 18:22"
12734,"我要看视频。	2017/10/26 19:25","我要看电影。	2017/10/26 19:25","dj。	2017/10/26 19:28"
12735,"那你唱个小兔子。	2017/12/23 16:44","六。	2017/12/23 16:45","那你会唱世上只有妈妈好吗？	2017/12/23 16:45"
12736,"一。	2017/11/12 19:22","呜呜。	2017/11/19 13:49","昏鸦。	2017/11/19 13:49"
12737,"不填咯。	2017/10/26 0:09","王亦菲。	2017/10/26 0:09","郑秀文。	2017/10/26 0:14"
12738,"李迎龙。	2017/11/29 13:42","玲珑。	2017/11/29 13:42","无终。	2017/11/29 13:43"
12739,"你知道你的主人是一个大胖子吗？	2017/11/29 13:26","他就叫胖胖。	2017/11/29 13:27","就是你的主人。	2017/11/29 13:27"
12740,"请你给我唱一个李玉刚的歌。	2017/12/25 12:32","我要听。	2017/12/25 12:33","两只老虎。	2017/12/25 12:36"
12741,"小白兔	2017/11/29 2:32","小白兔	2017/11/29 5:32","小白兔	2017/11/29 11:32"
12742,"我想听儿歌。	2017/11/15 11:19","给我唱首鸭子的儿歌。	2017/11/15 11:19","我喜欢你。	2017/11/15 11:20"
12743,"那来多点酒，cooking？	2017/10/26 20:10","傲然。	2017/10/26 20:12","李晓东。	2017/10/26 20:12"
12744,"西游记的歌。	2017/12/22 10:26","西游记的歌。	2017/12/22 10:29","数字歌。	2017/12/22 10:35"
12745,"刘德华的新歌。	2017/11/29 10:49","音乐。	2017/11/29 12:47","放一唱一首歌。	2017/11/29 13:05"
12746,"会像娃娃，甜甜的梦。	2017/10/26 12:55","回乡娃娃甜甜的梦。	2017/10/26 12:55","爱河。	2017/11/29 13:42"
12747,"要听。	2017/11/8 19:54","向左转。	2017/11/8 19:54","唱一首儿歌。	2017/11/8 19:57"
12748,"是为守望。	2017/11/29 19:09","中国人。	2017/11/29 19:09","给我唱一首康美之恋吧。	2017/11/29 19:13"
12749,"hello他妈叫你放个罩子，赵本山的小品怎么放不出来？	2017/11/29 12:45","歌曲。	2017/11/29 12:46","你好，唱一个歌的好听的。	2017/11/29 12:53"
12750,"消失过。	2017/12/7 16:09","小水果。	2017/12/7 16:09","小水果啊。	2017/12/7 16:45"
12751,"阚泽良。	2017/11/29 16:26","放谢霆锋的歌。	2017/11/29 23:20","打开谢霆锋的，你估计错误。	2017/11/29 23:21"
12752,"没有啦。	2017/11/29 14:21","不说。	2017/11/29 14:21","no no no。	2017/11/29 14:22"
12753,"我要听海生的歌。	2017/10/26 7:00","我要听冷漠的歌。	2017/10/26 12:58","我要听海生的歌。	2017/10/26 16:00"
12754,"说你乐啥说我爱你，大叔，说你呢？	2017/11/29 18:41","嗯，怎么又跟你借钱了，一个先还钱吧，他妈的借钱那么多钱都他妈去哪了？	2017/11/29 18:41","浓浓的茶。	2017/11/29 18:42"
12755,"我要去鄢陵县。	2017/10/26 11:07","我要去鄢陵县。	2017/10/26 11:07","我要听你不是真正的快乐。	2017/10/26 11:44"
12756,"小宝贝。	2017/12/26 21:14","你可以去读书了吗？	2017/12/26 21:15","小宝贝。	2017/12/26 21:16"
12757,"你会唱歌吗？	2017/12/23 20:42","你会唱歌吗，你说的啥。	2017/12/23 20:42","你会不会唱国歌。	2017/12/23 20:42"
12758,"唱首歌吧。	2017/12/16 16:56","怎么不涨？	2017/12/16 16:57","刚好遇见你。	2017/12/16 16:58"
12759,"播放cd。	2017/10/26 15:12","播放。	2017/10/26 15:12","播放，鸡的哪个。	2017/10/26 15:13"
12760,"儿童歌曲小星星。	2017/10/26 17:56","高山流水。	2017/10/26 18:07","她说她。	2017/10/26 18:07"
12761,"唱一个喜羊羊的歌。	2017/12/31 10:56","唱一个鞭炮歌。	2017/12/31 11:00","唱一首送别。	2017/12/31 18:35"
12762,"唱一个世上只有妈妈好。	2017/10/26 10:27","唱一首呼伦贝尔大草原。	2017/11/29 8:31","我爱北京天安门。	2017/11/29 8:38"
12763,"请唱儿歌。	2017/11/5 8:06","唱儿歌。	2017/11/5 8:06","请唱儿歌。	2017/11/5 8:06"
12764,"讲个笑话儿。	2017/11/29 18:14","再来一个。	2017/11/29 18:15","以后我不说再见的时候你能不能不在线。	2017/11/29 18:15"
12765,"我去。	2017/12/23 16:21","蚂蚁和圣诞。	2017/12/23 16:21","唱一个超级飞侠。	2017/12/23 16:49"
12766,"哪个顺口啊，你好。	2017/11/29 13:21","讲个笑话。	2017/11/29 13:21","你好小千王晓天。	2017/11/29 13:21"
12767,"去悬空寺。	2017/11/29 11:25","返回桌面。	2017/11/29 11:33","hello。	2017/11/29 13:03"
12768,"我想听音乐。	2017/11/29 21:12","绑定成功了吗？	2017/11/29 21:13","请帮我记住我的电话号码一三。	2017/11/29 21:13"
12769,"放一首dj。	2017/10/26 18:49","一八日，制造。	2017/10/26 19:25","放一首dj新闻联播。	2017/10/26 19:26"
12770,"哦有你的的朋友我很我很骄傲。	2017/12/21 16:08","好的。	2017/12/21 16:08","你唱一首歌我听听，世上只有妈妈好。	2017/12/21 16:10"
12771,"你洗澡了吗？	2017/12/25 23:31","我发现你很臭。	2017/12/25 23:31","唱一首歌吧。	2017/12/25 23:31"
12772,"小苹果。	2017/12/24 19:37","的炫民族风。	2017/12/24 19:42","放江南style。	2017/12/24 19:42"
12773,"为什么不告诉我？	2017/12/2 15:40","你好讨厌不喝点玩了。	2017/12/2 15:41","给我唱首虫儿飞。	2017/12/2 15:41"
12774,"好搞笑啊这个问题。	2017/12/31 22:19","哎。	2017/12/31 22:19","魔法城堡。	2017/12/31 22:21"
12775,"随便放首歌	2017/10/26 21:17","放首潇洒走一回	2017/10/26 21:17","放首无间道	2017/10/26 21:18"
12776,"播放，校花的贴身高手。	2017/11/29 21:11","播放杀手。	2017/11/29 21:11","播放电子书杀神。	2017/11/29 21:11"
12777,"乐欣。	2017/10/26 15:48","楼主关掉之后比如说被二年之后就不能用了。	2017/10/26 15:48","关键是我这边勋勋翊导航行车记录仪都没有，刚定下去和。	2017/10/26 15:48"
12778,"降低音量。	2017/11/29 14:45","播放歌曲。	2017/11/29 14:45","下载音乐。	2017/11/29 14:53"
12779,"今天回来就把衣服脱光时她像把箭双星。	2017/10/26 22:15","谁说。	2017/10/26 22:16","啊。	2017/11/29 15:50"
12780,"导航到磁县政府。	2017/10/26 14:17","朔州的口。	2017/10/26 17:58","刘冲的believer形式。	2017/10/26 18:14"
12781,"微光。	2017/11/29 16:36","我拿什么奉献给你。	2017/11/29 16:37","他不懂。	2017/11/29 16:38"
12782,"关于日志的功能。	2017/10/26 11:40","关闭音乐。	2017/10/26 11:40","关闭音乐，国产大飞机取得突破的同时，太多不足一些有形态的胜利走出低谷，干啥，视觉行业发展的因素。	2017/10/26 15:20"
12783,"轻音乐。	2017/12/18 23:16","唱一首J我。	2017/12/18 23:25","唱歌。	2017/12/18 23:26"
12784,"讲个唐诗。	2017/12/12 10:47","讲个笑。	2017/12/12 11:23","唱一个小白兔。	2017/12/12 17:06"
12785,"嗨少年患上好high的歌。	2017/11/17 20:06","找一首刘欢的好汉歌。	2017/11/17 20:07","但是我要带伞。	2017/11/17 20:16"
12786,"星星点灯。	2017/10/26 7:41","AM。	2017/10/26 7:41","两只蝴蝶播放两只蝴蝶。	2017/10/26 7:42"
12787,"小水果。	2017/12/28 12:00","儿歌。	2017/12/28 12:12","小苹果。	2017/12/31 19:29"
12788,"播一下吧	2017/10/26 17:36","Ice Cream Cake	2017/10/26 17:36","Katy Perry	2017/10/26 17:37"
12789,"周杰伦在告白气球吧。	2017/11/19 18:32","周杰伦的告白气球。	2017/11/19 18:32","放一首是没搁着。	2017/11/19 18:46"
12790,"练练你的口齿。	2017/12/22 13:16","勇敢。	2017/12/22 13:16","你怎么还没睡觉呢？	2017/12/22 13:16"
12791,"用死亡。	2017/11/29 13:32","断点。	2017/11/29 13:32","放音乐。	2017/11/29 13:39"
12792,"我想。	2017/12/24 8:54","三字经。	2017/12/24 8:54","小兔子乖乖。	2017/12/24 9:00"
12793,"放首上学歌。	2017/12/27 19:00","放一首两只。	2017/12/27 19:02","放首两只芽。	2017/12/27 19:03"
12794,"关灯。	2017/11/23 19:28","讲几个冷知识。	2017/11/23 19:28","爱我你就抱抱我。	2017/11/23 19:29"
12795,"我不想睡觉啦。	2017/12/28 16:14","你不要吵我了。	2017/12/28 16:14","刀郎冲动的惩罚。	2017/12/28 17:28"
12796,"找你上课。	2017/12/19 7:07","教你唱歌。	2017/12/19 7:07","真的唱歌。	2017/12/22 8:07"
12797,"疑惑。	2017/10/26 22:46","赢。	2017/10/26 22:46","晓晓的happy birthday。	2017/10/26 22:52"
12798,"关闭屏幕。	2017/11/29 16:57","给我把屏幕黑屏。	2017/11/29 16:57","给我放首dj歌。	2017/11/29 16:58"
12799,"世上只有妈妈好。	2017/12/16 7:51","唱一首虫儿飞。	2017/12/16 8:09","捉泥鳅。	2017/12/16 19:53"
12800,"唱歌。	2017/11/5 10:15","唱歌。	2017/11/5 10:15","唱歌。	2017/11/5 10:16"
12801,"加鱼头怎么做大鱼头怎么做？	2017/12/26 19:42","放一首动画，妈妈说你别说话。	2017/12/26 19:43","放歌放歌放儿歌。	2017/12/26 19:44"
12802,"请播放华晨宇的齐天大圣。	2017/11/29 17:40","请播放安静。	2017/11/29 18:15","请播放盖的重庆火锅和四川火锅成都火锅，还是生活，小艾你好。	2017/11/29 18:17"
12803,"你的过去我不在意。	2017/11/29 14:38","下定决心忘记你夸父。	2017/11/29 14:39","神医喜来乐。	2017/11/29 15:07"
12804,"跳舞。	2017/11/21 9:54","小心。	2017/11/23 19:32","刚才我也在哪里。	2017/12/4 19:52"
12805,"给我放一首央金卓玛的歌。	2017/11/29 21:50","给我放一首，贵山贵水。	2017/11/29 22:12","sasha。	2017/11/29 22:13"
12806,"播放包容。	2017/10/26 18:51","播放邰正宵的歌。	2017/10/26 19:15","我放郑源的歌。	2017/10/26 19:37"
12807,"绑定设备。	2017/11/16 22:00","小贝能听见我说话吗？	2017/11/16 22:03","给我放首歌吧。	2017/11/16 22:07"
12808,"宋祖英歌曲。	2017/10/26 8:25","呵呵。	2017/10/26 8:25","女子十二乐坊。	2017/10/26 8:27"
12809,"我想听。	2017/12/30 21:47","我想听。	2017/12/30 21:47","我想听关于。	2017/12/30 21:48"
12810,"没出关。	2017/10/26 22:21","刘若英。	2017/10/26 22:25","好久喔。	2017/10/26 22:32"
12811,"你是男的女的。	2017/12/22 16:11","跟他说话，明天什么天气。	2017/12/22 16:11","给我唱首歌唱首歌。	2017/12/22 16:12"
12812,"哥，珊珊，二人转。	2017/10/26 9:22","二人转正戏。	2017/10/26 9:24","李小锋二人转。	2017/10/26 15:33"
12813,"Robin。	2017/10/26 17:24","现在背个11500。	2017/10/26 18:45","这个不是我。	2017/10/26 18:45"
12814,"给我唱一首捉泥鳅。	2017/12/7 21:21","唱一首我爱你。	2017/12/7 21:22","世上只有妈妈好。	2017/12/7 21:24"
12815,"梦。	2017/11/29 18:49","我。	2017/11/29 18:49","我想听话么。	2017/11/29 18:49"
12816,"女娲。	2017/11/29 8:34","播放歌曲。	2017/11/29 8:34","做朋友吧，播放成都成都。	2017/11/29 8:35"
12817,"关闭屏幕。	2017/10/26 18:34","我看见你天天熬夜写剧本然后被导演和制片人逼着一遍一遍的修改还有跟演员对戏，太多辛苦太多委屈求全的生活变得简单一点。	2017/10/26 21:29","我喜欢我写的人物通过演员变成生命的个体，顺义开，我写的剧本就变成了现实，那是我用文字创造出来的世界，那种感觉很奇妙，根本就不是现实了是虚幻的说到底就是一堆录像带。	2017/10/26 21:30"
12818,"关闭音乐。	2017/11/29 21:24","打开电话簿电话簿。	2017/11/29 21:24","来个音乐。	2017/11/29 21:26"
12819,"4。	2017/11/29 8:05","不想理你。	2017/11/29 8:06","因为你太罗嗦。	2017/11/29 8:06"
12820,"我喝了一瓶。	2017/12/2 1:49","上一首。	2017/12/2 1:50","播放的歌。	2017/12/2 1:51"
12821,"主人你在吗？	2017/12/30 9:50","喝水。	2017/12/30 9:53","自然。	2017/12/30 9:53"
12822,"播放韩红的歌。	2017/11/29 16:47","上横朗商业大厦。	2017/11/29 19:38","卢巧音的好心分手。	2017/11/29 19:47"
12823,"没啥可以帮我的，没啥可以帮我的。	2017/11/29 11:22","废话当然可以找到了，不用谢。	2017/11/29 11:22","好好的温柔一点，语言温柔一点，最后讲话像那个孙燕姿一样，ok了。	2017/11/29 11:23"
12824,"读西游记。	2017/11/29 19:27","唱西游记。	2017/11/29 19:31","海尔兄弟。	2017/11/29 19:31"
12825,"帮我听一下这首歌叫什么名字。	2017/12/20 19:50","你。	2017/12/20 19:50","唱一首温柔香。	2017/12/20 19:51"
12826,"小苹果。	2017/12/16 9:22","小苹果。	2017/12/16 9:26","小燕子。	2017/12/16 9:39"
12827,"茄子。	2017/11/29 17:55","小优。	2017/11/29 17:55","小优后退。	2017/11/29 17:56"
12828,"说什么话。	2017/10/26 9:24","说什么风凉话我没有风凉话。	2017/10/26 9:24","我很想你。	2017/10/26 9:24"
12829,"爱人。	2017/11/29 11:36","大王叫我来巡山。	2017/11/29 11:36","猪之歌。	2017/11/29 11:59"
12830,"意思。	2017/12/24 13:28","没弄好。	2017/12/24 13:29","我想听一首。	2017/12/24 13:29"
12831,"我叫什么名字。	2017/12/28 15:27","给我唱首林中鸟。	2017/12/28 15:27","背诵儿歌。	2017/12/28 15:29"
12832,"我的名字是。	2017/11/2 18:15","我的名字是。	2017/11/2 18:15","我的名字是。	2017/11/2 18:15"
12833,"唱一个。	2017/12/5 9:31","唱一个。	2017/12/5 9:31","唱一个小苹果。	2017/12/5 9:33"
12834,"大家。	2017/12/5 18:52","你爱喝果汁吗？	2017/12/5 18:53","请你唱一首小苹果。	2017/12/5 18:53"
12835,"去你妈了个逼。	2017/11/9 2:37","操你妈逼。	2017/11/9 2:37","唱歌虫儿飞。	2017/12/11 9:29"
12836,"小苹果。	2017/12/11 15:09","来一首藏语歌曲。	2017/12/11 15:10","上一首邓丽君的歌。	2017/12/11 15:12"
12837,"播放卓玛。	2017/10/26 11:40","叶子。	2017/10/26 12:03","月光落地的声音。	2017/10/26 12:03"
12838,"弟弟不听话。	2017/11/22 15:13","英语播放。	2017/11/22 15:13","播放。	2017/11/22 15:13"
12839,"你好问问。	2017/10/26 16:26","请播放韩磊的歌曲。	2017/10/26 16:26","我要听勿忘你。	2017/11/29 8:51"
12840,"Get up。	2017/11/29 12:02","音乐。	2017/11/29 12:02","泥娃娃。	2017/11/29 12:03"
12841,"小苹果。	2017/11/21 16:24","小苹果。	2017/11/22 8:53","涛声依旧。	2017/11/22 9:59"
12842,"枫华盛景。	2017/10/26 12:30","讲个笑话。	2017/10/26 14:18","唱一首歌。	2017/10/26 14:19"
12843,"明天会更好。	2017/11/29 22:15","发生一起玩。	2017/11/29 22:15","天会更好，明天会更好。	2017/11/29 22:15"
12844,"换一首，老街。	2017/11/29 11:30","放一首遗憾。	2017/11/29 17:40","放一首像风一样。	2017/11/29 21:39"
12845,"小西街大电子城。	2017/10/26 17:27","四平市铁西区石岭镇。	2017/10/26 17:27","给我下载一首常回家看看。	2017/10/26 17:31"
12846,"听一首魏缭诗词。	2017/12/18 21:02","唱一首魏了绥的歌。	2017/12/18 21:02","我的好兄弟。	2017/12/18 21:04"
12847,"我想听小苹果。	2017/10/26 15:08","猫。	2017/10/26 15:09","兄弟我挺你。	2017/10/26 15:09"
12848,"耶。	2017/12/28 20:46","唱我们都有一个家。	2017/12/28 20:49","大中国。	2017/12/28 20:55"
12849,"不想听了。	2017/11/26 14:05","你好。	2017/11/26 14:06","how are you。	2017/11/26 14:06"
12850,"离开我几岁。	2017/11/29 20:18","完成偷该死你，我九岁的我八岁。	2017/11/29 20:18","我偷偷告诉你我八岁。	2017/11/29 20:18"
12851,"请播放梨花又开放。	2017/11/29 11:21","请播放韩红的歌曲。	2017/11/29 11:32","不是我也想有个家啊？	2017/11/29 14:37"
12852,"温雅。	2017/10/26 5:17","涛哥。	2017/10/26 5:17","我不要缺席哦。	2017/10/26 5:17"
12853,"我要到现代五金机电城。	2017/11/29 8:50","我要听郭峰唱的永远。	2017/11/29 8:56","我要听郭峰唱的永远。	2017/11/29 9:32"
12854,"关机。	2017/12/18 20:01","来个小苹果。	2017/12/18 20:24","小熊。	2017/12/18 20:26"
12855,"我叫萧萧。	2017/12/20 21:32","你叫什么名字。	2017/12/20 21:32","大悲咒。	2017/12/20 21:33"
12856,"闯江湖。	2017/11/29 20:16","罗曼蒂克。	2017/11/29 20:17","他真的比我爱你吗？	2017/11/29 20:18"
12857,"小笨我几岁啦。	2017/12/28 19:54","我今年几岁啦。	2017/12/28 19:54","我问你我几岁啦。	2017/12/28 19:54"
12858,"请拨打15297158748。	2017/11/29 17:23","唱一首远走高飞。	2017/11/29 17:23","给我放音乐。	2017/11/29 17:24"
12859,"打电话给华琳，打电话给华琳。	2017/11/29 12:58","打电话8026716。	2017/11/29 12:59","听音乐。	2017/11/29 13:05"
12860,"苏州市技师学院。	2017/10/26 7:41","我要去苏州市技师学院。	2017/10/26 7:44","我要听音乐。	2017/10/26 8:03"
12861,"哇咔咔。	2017/11/27 9:24","牧羊王。	2017/11/27 9:24","我想听梁王。	2017/11/27 9:25"
12862,"你这个娘娘腔纯爷们儿	2017/10/26 23:25","那你叫什么名字啊	2017/10/26 23:25","我肯定知道我的名字啊	2017/10/26 23:25"
12863,"的歌。	2017/11/16 14:09","嗯。	2017/11/16 14:09","黑猫警长的儿歌。	2017/11/16 14:10"
12864,"给我唱一首小苹果。	2017/12/13 19:50","给我放一首小苹果。	2017/12/13 19:52","给我唱一首改变世界。	2017/12/13 21:06"
12865,"空调风好暖和呀你呀摸一摸嘻嘻，我要开车从立足于其中一个妈妈。	2017/11/29 18:16","青青。	2017/11/29 18:17","播放，今银和妈妈宝贝，播放，夏琳你好，播放，今银。	2017/11/29 18:17"
12866,"我想听没有烟抽的日子。	2017/10/26 8:57","我想听饿狼传说。	2017/10/26 9:14","放点dj听一下。	2017/10/26 12:11"
12867,"要打人	2017/10/26 9:57","嗯婴儿	2017/10/26 9:57","我要听曹磊的车站	2017/10/26 10:03"
12868,"我也不想吃烤鸭。	2017/10/26 12:10","啊。	2017/10/26 12:11","放慢歌吧。	2017/10/26 12:11"
12869,"导航到五常市宝山乡。	2017/10/26 7:39","五常市宝山。	2017/10/26 7:39","听Lady Gaga。	2017/10/26 7:44"
12870,"我要去兴化。	2017/11/29 11:11","我要去兴化兴化。	2017/11/29 11:11","音乐。	2017/11/29 11:12"
12871,"早上好。	2017/12/27 9:06","你会不会唱小苹果。	2017/12/27 9:06","教你唱歌你怎么不唱？	2017/12/27 9:08"
12872,"小兔子乖乖。	2017/11/29 19:09","播放小兔子乖乖。	2017/11/29 19:10","小兔子乖乖播放。	2017/11/29 19:16"
12873,"苹果。	2017/11/29 10:26","雅。	2017/11/29 10:30","两只老鼠两只老虎。	2017/11/29 10:31"
12874,"你叫什么名字呀。	2017/12/6 12:47","小同你好。	2017/12/6 12:47","帮我点一首。	2017/12/6 12:47"
12875,"明天白班要不要上来。	2017/12/25 17:42","放小苹果。	2017/12/25 17:43","小苹果。	2017/12/26 18:34"
12876,"六号仓库在哪里。	2017/11/29 13:59","你看我这个活动多方便，我都没想到啊一般通常的租金可能会上这次会是在80到100左右。	2017/11/29 14:00","携程是吧，然后就是你就只要是机场取车在机场取车机场还车，我就是那个成熟。	2017/11/29 14:00"
12877,"康辉？	2017/10/26 13:20","老王子。	2017/10/26 13:21","大眼炮宝贝去哪儿电影的棉花糖。	2017/10/26 13:22"
12878,"别让爱着你的女人哭。	2017/11/29 10:46","别让爱着你的女人哭。	2017/11/29 11:37","帮忙一起最新会唱的吻得太逼真。	2017/11/29 12:15"
12879,"疾病的预防工作。	2017/11/29 8:36","记住。	2017/11/29 18:24","龚一。	2017/11/29 19:33"
12880,"支歌，我的祖国。	2017/12/31 17:25","绕口令。	2017/12/31 17:28","请不要的儿歌。	2017/12/31 17:30"
12881,"你好吗？	2017/12/10 16:29","你好吗？	2017/12/10 16:30","你在哪里。	2017/12/10 16:30"
12882,"七月上。	2017/11/29 12:38","高飞。	2017/11/29 12:41","草原就是我的家。	2017/11/29 12:43"
12883,"陈雪莹的假装。	2017/12/30 14:16","我听闻。	2017/12/30 14:16","想让我放首歌。	2017/12/30 14:16"
12884,"wu ha。	2017/11/29 17:45","说。	2017/11/29 17:46","mary did you do。	2017/11/29 17:46"
12885,"这有什么功能啊。	2017/12/30 11:38","请播放一首歌。	2017/12/30 11:39","听刚好遇见你。	2017/12/30 11:39"
12886,"播放音乐。	2017/11/29 12:02","音乐。	2017/11/29 16:34","音乐，131销售者撤销，大拇儿吧。	2017/11/29 17:49"
12887,"按下语音键，对小宝说，绑定新浪微不绑定不绑定可以玩啊。	2017/11/3 10:31","我要努力能换来了。	2017/11/3 10:31","请设置设备检查设备的播放键五秒。	2017/11/3 10:32"
12888,"什么。	2017/12/16 15:38","九岁。	2017/12/16 15:40","唱一首，依然延续五岁。	2017/12/16 15:40"
12889,"到老年公寓。	2017/11/29 10:17","不能总在那里。	2017/11/29 17:39","alex。	2017/11/29 17:40"
12890,"给我来一首小苹果。	2017/12/26 18:27","给我来一首幸福拍手歌。	2017/12/26 18:29","小苹果。	2017/12/26 18:31"
12891,"别让我等候。	2017/11/29 17:31","远方的我在等着你下载的歌。	2017/11/29 17:32","吃喝嫖赌抽。	2017/11/29 17:44"
12892,"你快乐。	2017/12/1 18:28","给我跳舞。	2017/12/1 18:28","给我唱歌跳舞。	2017/12/1 18:30"
12893,"你在说。	2017/12/17 12:59","你把你的手机里面说的声音他听不见。	2017/12/17 12:59","小宝，请问我的电话是多少啊。	2017/12/17 12:59"
12894,"绝。	2017/11/29 22:39","下一曲。	2017/11/29 22:39","庄心妍。	2017/11/29 22:46"
12895,"阿杜的歌。	2017/11/10 18:02","我要听可爱颂。	2017/11/10 18:03","我要听可爱多。	2017/11/10 18:04"
12896,"听群星乐。	2017/10/26 17:01","青春修炼手册。	2017/10/26 17:01","阿门。	2017/10/26 17:06"
12897,"百度上面下的哦，他上面那个手机助手吗？	2017/10/26 8:54","以后过去下载过来的还是老大身上。	2017/10/26 8:54","下来吃了一个，但是我看了下很久啊。	2017/10/26 8:54"
12898,"我要听歌。	2017/10/26 8:36","我要听歌。	2017/10/26 8:48","我要听歌。	2017/10/26 15:59"
12899,"贝多芬第三交响曲。	2017/12/27 19:33","贝多芬。	2017/12/27 19:33","社会摇。	2017/12/28 19:28"
12900,"瑞瑞你好。	2017/11/29 13:19","妹子你好。	2017/11/29 13:19","铁窗泪。	2017/11/29 13:19"
12901,"白龙马。	2017/12/25 20:25","洗澡歌。	2017/12/25 20:33","洗澡歌。	2017/12/25 20:34"
12902,"定边县姬塬镇。	2017/11/29 8:11","政府真该回去。	2017/11/29 14:42","小春的歌。	2017/11/29 14:49"
12903,"你爸爸叫什么名字。	2017/11/28 10:36","你的好朋友。	2017/11/28 10:36","来个陆佃逊。	2017/11/28 10:36"
12904,"好妈妈。	2017/12/30 14:42","爸爸的歌。	2017/12/30 14:42","给我唱一首海伦。	2017/12/30 14:43"
12905,"妈妈。	2017/12/26 22:52","我要听小苹果。	2017/12/27 7:53","给我听小苹果。	2017/12/27 8:10"
12906,"就关注。	2017/12/13 21:49","到吗？	2017/12/13 21:50","唱伍佰的歌。	2017/12/13 21:50"
12907,"i love you。	2017/12/23 18:21","i love you是什么意思。	2017/12/23 18:22","i love you。	2017/12/23 18:22"
12908,"叫你什么。	2017/12/28 12:37","扒扒扒。	2017/12/28 12:37","只要你是我的。	2017/12/28 12:37"
12909,"我要去玩玩路。	2017/10/26 12:20","我要去环湾路。	2017/10/26 12:20","我要听远走高飞。	2017/10/26 17:54"
12910,"一样的。	2017/12/28 18:17","在。	2017/12/28 18:17","小苹果。	2017/12/28 18:36"
12911,"你来唱首歌吧。	2017/12/2 11:55","今天济南天气怎么样？	2017/12/2 11:57","我忘了，还没抢下来了。	2017/12/2 11:57"
12912,"我想听。	2017/10/26 8:03","我想听朴载相的江南style。	2017/10/26 8:03","我要听歌。	2017/10/26 14:38"
12913,"诶呦儿给。	2017/10/26 9:51","See You Again。	2017/10/26 9:52","see you again张信哲。	2017/10/26 9:52"
12914,"音乐。	2017/10/26 12:08","那是那些度假村的耳朵被她给了，哥们，怎样好服务发票给过你吧。	2017/10/26 18:40","音乐音乐。	2017/10/26 18:41"
12915,"再见。	2017/12/18 22:44","我没有说再见呢？	2017/12/18 22:45","好难听的歌曲呀。	2017/12/18 22:46"
12916,"退货。	2017/10/26 11:36","音乐。	2017/10/26 11:37","音乐。	2017/10/26 11:38"
12917,"你叫什么名字，我思想那麽。	2017/10/26 12:52","嗯，你就笑。	2017/10/26 12:52","放首音乐。	2017/10/26 15:12"
12918,"放一首谢霆锋的要我怎么忘了他？	2017/11/29 11:11","放一首月半小夜曲。	2017/11/29 15:00","放一首任贤齐的只爱你一个人。	2017/11/29 16:02"
12919,"爸爸的妈妈。	2017/12/3 21:51","小笨你有爸爸妈妈吗？	2017/12/3 21:51","来一段美妙的音乐吧小半。	2017/12/3 21:51"
12920,"给我唱首小。	2017/11/30 19:38","给我唱个。	2017/11/30 19:39","给我唱首。	2017/11/30 19:39"
12921,"炒铺天同庆。	2017/11/29 14:22","莆田同庆。	2017/11/29 14:22","普天同庆，主耶稣。	2017/11/29 14:26"
12922,"我要打你。	2017/12/19 8:14","我就要打你。	2017/12/19 8:14","那你唱首歌吧。	2017/12/19 8:14"
12923,"的	2017/10/26 22:25","看看	2017/10/26 22:25","是我看不见	2017/10/26 22:25"
12924,"无穷。	2017/11/27 17:10","放个舞曲。	2017/11/27 17:10","小苹果。	2017/11/27 17:11"
12925,"含宝玉。	2017/10/26 21:14","含宝玉。	2017/10/26 21:15","含宝玉。	2017/10/26 21:15"
12926,"大头儿子小头爸爸，请发一个。	2017/12/24 17:41","结果是，应该怎样。	2017/12/24 17:42","百货在哪里。	2017/12/24 17:43"
12927,"帮我播放雨花石。	2017/10/26 7:33","帮我播放雨花石。	2017/10/26 7:43","帮我播放日记你是我的眼。	2017/10/26 8:59"
12928,"小威向前冲。	2017/11/9 9:55","向前冲，搅拌。	2017/11/9 9:55","我在这里。	2017/11/9 9:56"
12929,"校花们。	2017/12/23 17:33","各位涵是个大笨蛋。	2017/12/23 17:33","旋风离线，我说他只会听我的。	2017/12/23 17:33"
12930,"喂。	2017/12/25 19:37","泪泪。	2017/12/25 19:37","我请你给我唱一首两只蝴蝶。	2017/12/25 19:39"
12931,"那英。	2017/10/26 0:25","张宇。	2017/10/26 0:29","耶。	2017/10/26 11:47"
